index,shape-type,vertex-index,axis-0,axis-1
0,polygon,0,1399.4265,680.3806
0,polygon,1,1405.7197,714.9935
0,polygon,2,1421.4529,746.45984
0,polygon,3,1452.9192,737.01996
0,polygon,4,1481.2388,718.1402
0,polygon,5,1537.878,674.0874
0,polygon,6,1569.3444,658.35425
0,polygon,7,1603.9573,655.20764
0,polygon,8,1638.5702,658.35425
0,polygon,9,1673.1831,670.94073
0,polygon,10,1704.6494,683.5273
0,polygon,11,1736.1156,705.55365
0,polygon,12,1780.1685,755.8997
0,polygon,13,1802.1948,787.36597
0,polygon,14,1817.928,828.27216
0,polygon,15,1836.8077,897.4979
0,polygon,16,1843.101,941.5507
0,polygon,17,1852.5409,976.16364
0,polygon,18,1861.9807,1035.9496
0,polygon,19,1868.2739,1120.9084
0,polygon,20,1865.1273,1168.1079
0,polygon,21,1858.8341,1202.7208
0,polygon,22,1849.3942,1243.627
0,polygon,23,1836.8077,1278.2399
0,polygon,24,1830.5144,1344.319
0,polygon,25,1833.6611,1378.9319
0,polygon,26,1843.101,1410.3982
0,polygon,27,1858.8341,1445.0111
0,polygon,28,1874.5673,1485.9172
0,polygon,29,1884.0071,1523.6768
0,polygon,30,1921.7666,1583.4626
0,polygon,31,1934.3531,1655.8351
0,polygon,32,1950.0863,1684.1548
0,polygon,33,1965.8195,1715.6211
0,polygon,34,1981.5526,1756.5272
0,polygon,35,2025.6053,1832.0463
0,polygon,36,2057.0715,1898.1255
0,polygon,37,2091.6846,1967.3512
0,polygon,38,2129.444,2068.0432
0,polygon,39,2138.884,2102.6562
0,polygon,40,2157.7637,2178.1753
0,polygon,41,2170.35,2212.788
0,polygon,42,2186.0833,2244.2544
0,polygon,43,2198.67,2275.7207
0,polygon,44,2214.403,2307.187
0,polygon,45,2233.2827,2341.7998
0,polygon,46,2249.0159,2379.5593
0,polygon,47,2255.309,2411.0256
0,polygon,48,2267.8958,2442.492
0,polygon,49,2280.4822,2480.2515
0,polygon,50,2286.7754,2511.7178
0,polygon,51,2289.922,2552.624
0,polygon,52,2302.5085,2584.09
0,polygon,53,2318.2417,2612.41
0,polygon,54,2352.8545,2647.0227
0,polygon,55,2381.1743,2672.1958
0,polygon,56,2428.3735,2706.8086
0,polygon,57,2459.8398,2716.2485
0,polygon,58,2491.3062,2735.1284
0,polygon,59,2529.0657,2744.568
0,polygon,60,2576.2651,2757.1548
0,polygon,61,2614.0247,2769.7412
0,polygon,62,2648.6375,2779.1812
0,polygon,63,2680.1038,2794.9143
0,polygon,64,2717.8633,2794.9143
0,polygon,65,2774.5027,2807.5007
0,polygon,66,2812.2622,2807.5007
0,polygon,67,2853.1685,2810.6475
