index,shape-type,vertex-index,axis-0,axis-1
0,polygon,0,1583.6943,475.40137
0,polygon,1,1643.5842,508.67355
0,polygon,2,1673.5292,528.63684
0,polygon,3,1686.838,561.909
0,polygon,4,1723.4374,578.5451
0,polygon,5,1756.7096,591.85394
0,polygon,6,1793.309,618.4717
0,polygon,7,1823.2539,638.435
0,polygon,8,1833.2355,671.70715
0,polygon,9,1859.8533,694.9977
0,polygon,10,1883.1438,721.6154
0,polygon,11,1943.0337,768.1964
0,polygon,12,1949.6881,801.46857
0,polygon,13,1966.3242,831.4135
0,polygon,14,1969.6514,864.6857
0,polygon,15,1953.0154,897.9579
0,polygon,16,1956.3425,931.23004
0,polygon,17,1966.3242,967.8294
0,polygon,18,1972.9786,1004.4288
0,polygon,19,1976.3058,1037.7009
0,polygon,20,1976.3058,1074.3003
0,polygon,21,1986.2875,1174.1168
0,polygon,22,2012.9053,1197.4073
0,polygon,23,2019.5597,1230.6796
0,polygon,24,2009.578,1263.9517
0,polygon,25,1979.633,1283.9149
0,polygon,26,1969.6514,1317.1871
0,polygon,27,1992.9419,1347.1321
0,polygon,28,1999.5963,1417.0037
0,polygon,29,1999.5963,1453.603
0,polygon,30,2012.9053,1520.1473
0,polygon,31,2039.523,1586.6917
0,polygon,32,2062.8135,1613.3094
0,polygon,33,2062.8135,1649.9088
0,polygon,34,2066.1406,1693.1626
0,polygon,35,2076.1223,1726.4348
0,polygon,36,2096.0857,1759.7069
0,polygon,37,2126.0305,1782.9974
0,polygon,38,2106.0674,1812.9424
0,polygon,39,2116.0488,1846.2146
0,polygon,40,2119.3762,1879.4867
0,polygon,41,2142.6667,1906.1045
0,polygon,42,2159.3027,1936.0494
0,polygon,43,2162.63,1969.3215
0,polygon,44,2169.2844,2002.5938
0,polygon,45,2182.5933,2035.8658
0,polygon,46,2195.902,2105.7375
0,polygon,47,2225.8472,2135.6824
0,polygon,48,2235.8286,2172.2817
0,polygon,49,2239.156,2208.881
0,polygon,50,2245.8103,2242.1533
0,polygon,51,2255.792,2275.4255
0,polygon,52,2279.0825,2302.0432
0,polygon,53,2315.682,2308.6978
0,polygon,54,2322.3364,2375.242
0,polygon,55,2372.2446,2478.3857
0,polygon,56,2378.899,2511.6577
0,polygon,57,2412.1711,2538.2756
0,polygon,58,2438.7888,2568.2205
0,polygon,59,2465.4067,2591.511
0,polygon,60,2495.3516,2611.4744
0,polygon,61,2525.2966,2628.1104
0,polygon,62,2541.9326,2658.0554
0,polygon,63,2558.5686,2684.673
0,polygon,64,2655.058,2674.6914
0,polygon,65,2688.33,2694.6548
0,polygon,66,2718.2751,2717.9453
0,polygon,67,2751.5474,2721.2725
0,polygon,68,2788.1467,2717.9453
0,polygon,69,2864.6726,2717.9453
0,polygon,70,2901.272,2704.6365
0,polygon,71,2941.1985,2704.6365
0,polygon,72,2974.4707,2711.2908
0,polygon,73,3007.743,2721.2725
0,polygon,74,3041.0151,2711.2908
0,polygon,75,3077.6145,2694.6548
