index,shape-type,vertex-index,axis-0,axis-1
0,polygon,0,3737.5417,2946.976
0,polygon,1,3770.698,2960.2388
0,polygon,2,3833.695,2983.4482
0,polygon,3,3873.4827,3033.1826
0,polygon,4,3890.0608,3066.3389
0,polygon,5,3893.3765,3106.1265
0,polygon,6,3916.586,3162.4922
0,polygon,7,3923.217,3228.805
0,polygon,8,3923.217,3348.1677
0,polygon,9,3916.586,3381.324
0,polygon,10,3896.6921,3450.9521
0,polygon,11,3890.0608,3484.1086
0,polygon,12,3883.4294,3523.8962
0,polygon,13,3900.0076,3553.7368
0,polygon,14,3886.745,3586.893
0,polygon,15,3883.4294,3626.6807
0,polygon,16,3883.4294,3663.1528
0,polygon,17,3886.745,3696.309
0,polygon,18,3900.0076,3732.781
0,polygon,19,3916.586,3762.6216
0,polygon,20,3936.4797,3792.4624
0,polygon,21,3963.0046,3818.9873
0,polygon,22,3992.8455,3835.5657
0,polygon,23,4022.686,3862.0906
0,polygon,24,4052.5269,3885.3
0,polygon,25,4085.683,3905.1938
0,polygon,26,4115.524,3928.4033
0,polygon,27,4138.7334,3954.9282
0,polygon,28,4181.8364,3994.7158
0,polygon,29,4211.6772,4034.5034
0,polygon,30,4231.571,4070.9753
0,polygon,31,4258.0957,4117.3945
0,polygon,32,4264.727,4190.3384
0,polygon,33,4251.465,4250.0195
0,polygon,34,4238.202,4286.4917
0,polygon,35,4211.6772,4309.701
0,polygon,36,4178.521,4326.2793
0,polygon,37,4148.68,4342.8574
0,polygon,38,4082.3674,4349.489
0,polygon,39,4016.0547,4342.8574
0,polygon,40,3949.7422,4316.332
0,polygon,41,3919.9014,4299.754
0,polygon,42,3890.0608,4279.8604
0,polygon,43,3856.9045,4253.3354
0,polygon,44,3837.0107,4223.4946
0,polygon,45,3780.645,4167.129
0,polygon,46,3757.4355,4137.288
0,polygon,47,3740.8574,4104.132
0,polygon,48,3717.648,4077.6067
0,polygon,49,3694.4385,4031.188
0,polygon,50,3681.176,4007.9785
0,polygon,51,3661.2822,3968.191
0,polygon,52,3648.0195,3928.4033
0,polygon,53,3624.8103,3878.6687
0,polygon,54,3621.4946,3825.6187
0,polygon,55,3611.5476,3752.6748
0,polygon,56,3604.9165,3716.203
0,polygon,57,3594.9695,3679.731
0,polygon,58,3588.3384,3639.9434
0,polygon,59,3568.4446,3586.893
0,polygon,60,3558.4976,3553.7368
0,polygon,61,3541.9194,3523.8962
0,polygon,62,3515.3943,3494.0554
0,polygon,63,3502.1318,3460.8992
0,polygon,64,3485.5537,3431.0583
0,polygon,65,3452.3975,3424.4272
0,polygon,66,3419.241,3427.743
0,polygon,67,3386.0847,3424.4272
0,polygon,68,3349.6128,3427.743
0,polygon,69,3316.4565,3434.374
0,polygon,70,3283.3,3437.6897
0,polygon,71,3246.8281,3444.321
0,polygon,72,3137.4124,3444.321
0,polygon,73,3097.6248,3441.0054
0,polygon,74,3064.4685,3444.321
0,polygon,75,3024.681,3444.321
0,polygon,76,2988.2087,3447.6367
0,polygon,77,2835.6897,3447.6367
0,polygon,78,2799.2178,3450.9521
0,polygon,79,2716.327,3450.9521
0,polygon,80,2633.4363,3464.2148
0,polygon,81,2587.0173,3464.2148
0,polygon,82,2484.2327,3474.1616
0,polygon,83,2407.9731,3474.1616
0,polygon,84,2374.817,3467.5305
0,polygon,85,2328.398,3460.8992
0,polygon,86,2288.6106,3444.321
0,polygon,87,2245.5073,3431.0583
0,polygon,88,2179.1946,3417.796
0,polygon,89,2142.7227,3407.849
0,polygon,90,2109.5664,3391.271
0,polygon,91,2076.41,3381.324
0,polygon,92,2046.5693,3364.7458
0,polygon,93,2026.6755,3328.274
0,polygon,94,1993.5193,3311.6958
0,polygon,95,1960.3629,3291.802
0,polygon,96,1927.2065,3268.5925
0,polygon,97,1894.0503,3252.0144
0,polygon,98,1867.5253,3228.805
0,polygon,99,1847.6315,3192.333
0,polygon,100,1794.5813,3145.914
0,polygon,101,1778.0032,3116.0735
0,polygon,102,1754.7937,3086.2327
0,polygon,103,1734.8999,3056.392
0,polygon,104,1724.953,3013.2888
0,polygon,105,1724.953,2973.5012
