index,shape-type,vertex-index,axis-0,axis-1
0,polygon,0,4333.508,4208.598
0,polygon,1,4380.487,4208.598
0,polygon,2,4427.466,4212.869
0,polygon,3,4470.1743,4229.952
0,polygon,4,4500.0703,4264.119
0,polygon,5,4504.341,4306.827
0,polygon,6,4500.0703,4353.806
0,polygon,7,4478.716,4400.7856
0,polygon,8,4440.2783,4422.1396
0,polygon,9,4397.5703,4439.223
0,polygon,10,4320.6953,4481.931
0,polygon,11,4277.987,4499.0146
0,polygon,12,4235.279,4503.2856
0,polygon,13,4188.2993,4503.2856
0,polygon,14,4145.5913,4499.0146
0,polygon,15,4051.633,4499.0146
0,polygon,16,3961.9456,4490.473
0,polygon,17,3876.529,4473.3896
0,polygon,18,3833.8206,4452.0356
0,polygon,19,3799.654,4417.8687
0,polygon,20,3765.4873,4375.1606
0,polygon,21,3662.9873,4285.473
0,polygon,22,3628.8208,4251.3066
0,polygon,23,3598.925,4217.1396
0,polygon,24,3564.7583,4182.973
0,polygon,25,3534.8625,4140.2646
0,polygon,26,3509.2375,4101.827
0,polygon,27,3445.175,3986.515
0,polygon,28,3428.0918,3939.536
0,polygon,29,3406.7375,3896.8274
0,polygon,30,3385.3835,3858.3901
0,polygon,31,3346.946,3837.036
0,polygon,32,3304.2378,3828.4941
0,polygon,33,3270.071,3794.3276
0,polygon,34,3235.9043,3764.432
0,polygon,35,3201.7378,3721.7234
0,polygon,36,3167.571,3691.8276
0,polygon,37,3129.1335,3670.4734
0,polygon,38,3086.4253,3653.3901
0,polygon,39,3035.1753,3644.8486
0,polygon,40,2902.7795,3632.0361
0,polygon,41,2860.0713,3623.4944
0,polygon,42,2813.0923,3623.4944
0,polygon,43,2804.5505,3580.7861
0,polygon,44,2817.363,3538.078
0,polygon,45,2834.4463,3495.3694
0,polygon,46,2872.8838,3474.0154
0,polygon,47,2958.3005,3465.4736
0,polygon,48,3005.2795,3465.4736
0,polygon,49,3047.9878,3461.203
0,polygon,50,3154.7585,3461.203
0,polygon,51,3201.7378,3474.0154
0,polygon,52,3244.446,3495.3694
0,polygon,53,3282.8835,3525.2654
0,polygon,54,3312.7793,3563.7026
0,polygon,55,3346.946,3597.8694
0,polygon,56,3381.1125,3640.5776
0,polygon,57,3449.4458,3717.4526
0,polygon,58,3483.6125,3751.6194
0,polygon,59,3513.5083,3790.0566
0,polygon,60,3539.1333,3832.7651
0,polygon,61,3564.7583,3871.2026
0,polygon,62,3581.8416,3913.911
0,polygon,63,3645.904,4029.2231
0,polygon,64,3675.7998,4067.6606
0,polygon,65,3701.4248,4106.098
0,polygon,66,3731.3208,4144.5356
0,polygon,67,3761.2166,4178.702
0,polygon,68,3786.8416,4217.1396
0,polygon,69,3816.7373,4251.3066
0,polygon,70,3897.883,4315.3687
0,polygon,71,3940.5913,4340.9937
0,polygon,72,3983.2998,4353.806
0,polygon,73,4034.5496,4353.806
0,polygon,74,4077.258,4349.5356
0,polygon,75,4124.2373,4340.9937
0,polygon,76,4171.2163,4323.9106
0,polygon,77,4299.3413,4272.6606
0,polygon,78,4324.9663,4234.223
