index,shape-type,vertex-index,axis-0,axis-1
0,polygon,0,3816.7468,2958.2231
0,polygon,1,3790.56,2972.9531
0,polygon,2,3769.2834,2982.7732
0,polygon,3,3749.6436,2994.2297
0,polygon,4,3697.2703,3026.9631
0,polygon,5,3685.8135,3040.0564
0,polygon,6,3675.9937,3054.7864
0,polygon,7,3675.9937,3077.6997
0,polygon,8,3679.2668,3115.343
0,polygon,9,3679.2668,3144.803
0,polygon,10,3684.1768,3175.8997
0,polygon,11,3695.6335,3202.0864
0,polygon,12,3698.907,3256.0964
0,polygon,13,3698.907,3274.0996
0,polygon,14,3702.1802,3305.1963
0,polygon,15,3708.7268,3351.023
0,polygon,16,3708.7268,3370.663
0,polygon,17,3710.3635,3391.9397
0,polygon,18,3710.3635,3409.9429
0,polygon,19,3712.0002,3427.9463
0,polygon,20,3712.0002,3447.5864
0,polygon,21,3716.9102,3463.953
0,polygon,22,3716.9102,3485.2297
0,polygon,23,3718.5469,3503.233
0,polygon,24,3721.8203,3524.5095
0,polygon,25,3723.4568,3545.7864
0,polygon,26,3730.0034,3586.703
0,polygon,27,3731.6401,3604.7063
0,polygon,28,3738.1868,3639.0762
0,polygon,29,3744.7336,3657.0796
0,polygon,30,3749.6436,3676.7195
0,polygon,31,3752.9167,3693.0862
0,polygon,32,3754.5535,3711.0896
0,polygon,33,3759.4636,3730.7295
0,polygon,34,3764.3735,3747.0962
0,polygon,35,3770.9202,3763.463
0,polygon,36,3775.83,3779.8296
0,polygon,37,3782.377,3815.8362
0,polygon,38,3784.0134,3832.203
0,polygon,39,3790.56,3850.2063
0,polygon,40,3803.6536,3866.5728
0,polygon,41,3824.9302,3904.216
0,polygon,42,3847.8435,3935.3127
0,polygon,43,3865.847,3951.6794
0,polygon,44,3870.7568,3974.5928
0,polygon,45,3878.9402,3990.9595
0,polygon,46,3885.4868,4007.3262
0,polygon,47,3898.58,4023.6929
0,polygon,48,3913.31,4035.1494
0,polygon,49,3973.8667,4077.703
0,polygon,50,3988.5967,4092.4329
0,polygon,51,4000.0535,4112.0728
0,polygon,52,4004.9634,4130.076
0,polygon,53,4008.2368,4146.443
0,polygon,54,4018.057,4164.4463
0,polygon,55,4024.6035,4182.449
0,polygon,56,4032.7869,4200.4526
0,polygon,57,4037.6968,4216.8193
0,polygon,58,4034.4233,4251.1895
0,polygon,59,4026.24,4274.1025
0,polygon,60,4026.24,4292.106
0,polygon,61,4031.1501,4311.746
0,polygon,62,4039.3335,4331.386
0,polygon,63,4049.1533,4346.116
0,polygon,64,4065.52,4357.5728
0,polygon,65,4083.5234,4360.846
0,polygon,66,4101.527,4360.846
0,polygon,67,4117.8936,4357.5728
0,polygon,68,4153.9,4344.4795
0,polygon,69,4203.0,4324.8394
0,polygon,70,4219.3667,4316.6562
0,polygon,71,4248.8267,4293.7427
0,polygon,72,4260.283,4279.0127
0,polygon,73,4268.467,4259.3726
0,polygon,74,4275.013,4239.733
0,polygon,75,4281.56,4203.726
0,polygon,76,4283.197,4184.086
0,polygon,77,4283.197,4162.8096
0,polygon,78,4281.56,4143.1694
0,polygon,79,4278.2866,4126.8027
0,polygon,80,4273.3765,4107.1626
0,polygon,81,4265.1934,4087.5227
0,polygon,82,4253.737,4067.8828
0,polygon,83,4240.6436,4049.8794
0,polygon,84,4209.547,4002.4163
0,polygon,85,4184.9966,3971.3196
0,polygon,86,4168.63,3956.5896
0,polygon,87,4155.5366,3943.496
0,polygon,88,4126.0767,3917.3096
0,polygon,89,4112.9834,3904.216
0,polygon,90,4083.5234,3879.6663
0,polygon,91,4070.4302,3866.5728
0,polygon,92,3993.5068,3797.8328
0,polygon,93,3980.4133,3783.1028
0,polygon,94,3965.6833,3770.0095
0,polygon,95,3954.2268,3756.9163
0,polygon,96,3932.9502,3719.273
0,polygon,97,3928.04,3701.2695
0,polygon,98,3919.8567,3683.2664
0,polygon,99,3919.8567,3660.353
0,polygon,100,3916.5835,3635.803
0,polygon,101,3916.5835,3611.253
0,polygon,102,3908.4001,3503.233
0,polygon,103,3908.4001,3460.6797
0,polygon,104,3910.0369,3431.2197
0,polygon,105,3914.9468,3375.573
0,polygon,106,3918.2202,3357.5696
0,polygon,107,3931.3135,3319.9263
0,polygon,108,3936.2234,3303.5596
0,polygon,109,3942.77,3270.8264
0,polygon,110,3944.4067,3252.823
0,polygon,111,3936.2234,3159.533
0,polygon,112,3931.3135,3134.9832
0,polygon,113,3918.2202,3102.2498
0,polygon,114,3913.31,3056.423
0,polygon,115,3906.7634,3040.0564
0,polygon,116,3896.9434,3018.7798
0,polygon,117,3887.1235,3000.7764
0,polygon,118,3875.6667,2981.1365
0,polygon,119,3865.847,2966.4065
0,polygon,120,3851.117,2954.9497
0,polygon,121,3834.7502,2953.3132
