index,shape-type,vertex-index,axis-0,axis-1
0,polygon,0,1444.7709,1021.33374
0,polygon,1,1436.7932,1061.2222
0,polygon,2,1428.8154,1109.0884
0,polygon,3,1416.8489,1152.9657
0,polygon,4,1412.8601,1196.843
0,polygon,5,1412.8601,1240.7203
0,polygon,6,1424.8267,1372.3522
0,polygon,7,1436.7932,1416.2295
0,polygon,8,1456.7374,1456.1179
0,polygon,9,1464.7151,1496.0065
0,polygon,10,1476.6816,1615.6718
0,polygon,11,1484.6593,1655.5603
0,polygon,12,1496.6259,1695.4487
0,polygon,13,1512.5812,1739.326
0,polygon,14,1536.5143,1775.2257
0,polygon,15,1576.4027,1807.1365
0,polygon,16,1600.3358,1843.036
0,polygon,17,1616.2913,1886.9133
0,polygon,18,1636.2355,1926.8018
0,polygon,19,1656.1797,1962.7014
0,polygon,20,1696.0681,2042.4783
0,polygon,21,1727.9789,2122.2554
0,polygon,22,1755.9009,2154.166
0,polygon,23,1775.8451,2194.0544
0,polygon,24,1783.8228,2233.9429
0,polygon,25,1795.7893,2277.8203
0,polygon,26,1807.7559,2317.7087
0,polygon,27,1835.6777,2349.6194
0,polygon,28,1859.6108,2385.519
0,polygon,29,1883.544,2429.3965
0,polygon,30,1895.5105,2473.2737
0,polygon,31,1907.4769,2525.1287
0,polygon,32,1919.4435,2565.017
0,polygon,33,1939.3878,2604.9055
0,polygon,34,1963.3208,2648.783
0,polygon,35,2023.1536,2768.4482
0,polygon,36,2039.1089,2808.3367
0,polygon,37,2063.042,2844.2363
0,polygon,38,2082.9863,2880.136
0,polygon,39,2118.8857,2912.0469
0,polygon,40,2158.7742,2939.9688
0,polygon,41,2190.685,2967.8906
0,polygon,42,2234.5623,2999.8013
0,polygon,43,2270.462,3019.7456
0,polygon,44,2314.3394,3039.69
0,polygon,45,2354.2278,3051.6565
0,polygon,46,2394.1162,3059.634
0,polygon,47,2434.0046,3063.6228
0,polygon,48,2521.7593,3079.5784
0,polygon,49,2561.6477,3087.556
0,polygon,50,2605.5251,3099.5225
0,polygon,51,2685.302,3115.478
0,polygon,52,2777.0454,3131.4333
0,polygon,53,2820.9226,3131.4333
0,polygon,54,2860.8113,3135.422
0,polygon,55,2956.5435,3135.422
0,polygon,56,3004.4097,3131.4333
0,polygon,57,3052.276,3131.4333
0,polygon,58,3092.1643,3135.422
0,polygon,59,3136.0415,3135.422
0,polygon,60,3179.919,3139.411
0,polygon,61,3279.6401,3139.411
0,polygon,62,3323.5173,3135.422
0,polygon,63,3367.3945,3123.4556
0,polygon,64,3411.272,3103.5115
0,polygon,65,3451.1604,3083.5671
0,polygon,66,3530.9373,3051.6565
0,polygon,67,3570.8257,3043.6787
0,polygon,68,3610.7144,3039.69
0,polygon,69,3658.5803,3047.6675
0,polygon,70,3678.5247,3083.5671
0,polygon,71,3726.3909,3163.344
0,polygon,72,3738.3574,3203.2324
0,polygon,73,3754.3127,3283.0095
0,polygon,74,3754.3127,3326.8867
0,polygon,75,3758.3015,3366.7751
0,polygon,76,3758.3015,3458.5186
0,polygon,77,3754.3127,3498.4072
0,polygon,78,3746.335,3538.2957
0,polygon,79,3742.3462,3582.1729
0,polygon,80,3750.3237,3661.9497
0,polygon,81,3758.3015,3701.8384
0,polygon,82,3770.268,3741.7268
0,polygon,83,3786.2234,3781.6152
0,polygon,84,3806.1677,3825.4924
0,polygon,85,3826.1118,3865.3809
0,polygon,86,3846.0562,3909.2583
0,polygon,87,3866.0005,3945.158
0,polygon,88,3885.9446,3985.0464
0,polygon,89,3905.889,4020.946
0,polygon,90,3937.7996,4052.8567
0,polygon,91,3973.6992,4072.801
0,polygon,92,4013.5876,4092.745
0,polygon,93,4049.4873,4112.6895
0,polygon,94,4073.4204,4148.589
0,polygon,95,4089.3757,4188.4775
0,polygon,96,4057.465,4216.3994
0,polygon,97,4017.5764,4220.388
0,polygon,98,3981.677,4200.444
0,polygon,99,3957.744,4160.5557
0,polygon,100,3925.833,4128.645
0,polygon,101,3905.889,4092.745
0,polygon,102,3881.9558,4056.8455
0,polygon,103,3846.0562,4036.9014
0,polygon,104,3814.1455,4004.9905
0,polygon,105,3802.179,3965.102
0,polygon,106,3770.268,3933.1914
0,polygon,107,3766.2793,3893.303
0,polygon,108,3754.3127,3853.4143
0,polygon,109,3718.413,3825.4924
0,polygon,110,3722.4019,3785.604
0,polygon,111,3734.3684,3745.7156
0,polygon,112,3726.3909,3705.8271
0,polygon,113,3722.4019,3665.9387
0,polygon,114,3714.4243,3622.0613
0,polygon,115,3702.4578,3582.1729
0,polygon,116,3674.536,3546.2732
0,polygon,117,3654.5916,3510.3738
0,polygon,118,3638.6362,3470.485
0,polygon,119,3626.6697,3430.5967
0,polygon,120,3610.7144,3390.7083
0,polygon,121,3574.8147,3366.7751
0,polygon,122,3534.9263,3342.842
0,polygon,123,3499.0266,3318.909
0,polygon,124,3455.1492,3302.9536
0,polygon,125,3335.484,3290.987
0,polygon,126,3291.6064,3294.976
0,polygon,127,3251.718,3306.9426
0,polygon,128,3207.8408,3306.9426
0,polygon,129,3159.9746,3298.9648
0,polygon,130,3116.0974,3294.976
0,polygon,131,2932.6104,3294.976
0,polygon,132,2844.8557,3302.9536
0,polygon,133,2473.893,3302.9536
0,polygon,134,2394.1162,3294.976
0,polygon,135,2354.2278,3286.9983
0,polygon,136,2310.3503,3275.0317
0,polygon,137,2266.4731,3263.0652
0,polygon,138,2218.607,3247.1099
0,polygon,139,2182.7073,3223.1768
0,polygon,140,2150.7966,3195.255
0,polygon,141,2114.897,3175.3105
0,polygon,142,2075.0085,3155.3665
0,polygon,143,2039.1089,3127.4443
0,polygon,144,2007.1981,3099.5225
0,polygon,145,1971.2986,3075.5894
0,polygon,146,1951.3542,3039.69
0,polygon,147,1927.4213,2999.8013
0,polygon,148,1907.4769,2951.9353
0,polygon,149,1899.4993,2908.0579
0,polygon,150,1883.544,2868.1694
0,polygon,151,1871.5774,2828.281
0,polygon,152,1855.622,2748.5042
