index,shape-type,vertex-index,axis-0,axis-1
0,polygon,0,1291.0955,699.63275
0,polygon,1,1305.2173,734.9374
0,polygon,2,1312.2782,770.242
0,polygon,3,1347.5829,777.3029
0,polygon,4,1418.1921,812.60754
0,polygon,5,1460.5576,819.66846
0,polygon,6,1502.9232,816.138
0,polygon,7,1545.2887,805.54663
0,polygon,8,1594.7152,798.4857
0,polygon,9,1630.0198,809.0771
0,polygon,10,1665.3245,823.1989
0,polygon,11,1700.629,840.85126
0,polygon,12,1728.8728,865.5645
0,polygon,13,1735.9337,904.3996
0,polygon,14,1739.4641,943.2346
0,polygon,15,1746.525,982.0697
0,polygon,16,1746.525,1080.9226
0,polygon,17,1750.0555,1123.2882
0,polygon,18,1746.525,1165.6538
0,polygon,19,1739.4641,1211.5498
0,polygon,20,1725.3423,1246.8544
0,polygon,21,1718.2814,1285.6895
0,polygon,22,1714.751,1320.9941
0,polygon,23,1714.751,1359.8291
0,polygon,24,1721.8119,1430.4384
0,polygon,25,1732.4032,1469.2734
0,polygon,26,1746.525,1504.5781
0,polygon,27,1764.1774,1536.3523
0,polygon,28,1771.2383,1582.2483
0,polygon,29,1778.2992,1621.0834
0,polygon,30,1788.8906,1663.4489
0,polygon,31,1810.0734,1705.8145
0,polygon,32,1824.1952,1744.6495
0,polygon,33,1834.7866,1779.9541
0,polygon,34,1852.439,1815.2588
0,polygon,35,1863.0303,1850.5634
0,polygon,36,1880.6826,1882.3375
0,polygon,37,1908.3809,1906.6144
0,polygon,38,1942.5945,1975.0416
0,polygon,39,1963.1226,2043.4689
0,polygon,40,1969.9653,2077.6824
0,polygon,41,1987.0721,2111.896
0,polygon,42,2011.0217,2146.1096
0,polygon,43,2031.5498,2187.166
0,polygon,44,2041.814,2224.801
0,polygon,45,2055.4993,2262.436
0,polygon,46,2072.6062,2300.0708
0,polygon,47,2089.713,2330.8633
0,polygon,48,2106.8198,2365.0767
0,polygon,49,2127.348,2395.8691
0,polygon,50,2141.0334,2430.0825
0,polygon,51,2151.2974,2471.139
0,polygon,52,2168.4043,2501.9312
0,polygon,53,2178.6685,2539.5662
0,polygon,54,2192.3538,2577.2012
0,polygon,55,2212.882,2645.6284
